method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0,reward_type
impute,512,8,356,1.9921454191207886,5.246611697810376,-3.2544662786895877,3.2544662786895877,0.6202986739132627,10.591550759127653,0.541015625,-1.5,sigmoid
scope,512,8,356,4.794395068516693,5.246611697810376,-0.4522166292936829,0.4522166292936829,0.0861921284326056,0.20449987980974021,0.541015625,-1.5,sigmoid
naive,512,8,357,4.011414051055908,5.216429538024014,-1.2050154869681062,1.2050154869681062,0.23100388458895327,1.4520623238329822,0.54541015625,-1.5,sigmoid
prox,512,8,357,5.065827369689941,5.216429538024014,-0.15060216833407303,0.15060216833407303,0.028870737587135355,0.02268101310692447,0.54541015625,-1.5,sigmoid
ipw,512,8,357,4.04461669921875,5.216429538024014,-1.1718128388052644,1.1718128388052644,0.22463887037361335,1.3731453291888527,0.54541015625,-1.5,sigmoid
impute,512,8,357,2.143923282623291,5.216429538024014,-3.0725062554007234,3.0725062554007234,0.5890056087222814,9.440294689476575,0.54541015625,-1.5,sigmoid
scope,512,8,357,3.909678096200695,5.216429538024014,-1.3067514418233195,1.3067514418233195,0.25050687108836467,1.7075993307073243,0.54541015625,-1.5,sigmoid
naive,512,8,358,4.252650260925293,5.229615769515419,-0.9769655085901263,0.9769655085901263,0.18681401304567596,0.9544616049747642,0.52734375,-1.5,sigmoid
prox,512,8,358,5.328859806060791,5.229615769515419,0.09924403654537173,0.09924403654537173,0.018977309408443933,0.009849378789819079,0.52734375,-1.5,sigmoid
ipw,512,8,358,4.285781383514404,5.229615769515419,-0.943834386001015,0.943834386001015,0.18047872493861467,0.890823348197913,0.52734375,-1.5,sigmoid
impute,512,8,358,2.3158390522003174,5.229615769515419,-2.913776717315102,2.913776717315102,0.557168412696808,8.49009475836757,0.52734375,-1.5,sigmoid
scope,512,8,358,3.4851760961693095,5.229615769515419,-1.7444396733461098,1.7444396733461098,0.3335693768392761,3.0430697739438823,0.52734375,-1.5,sigmoid
naive,512,8,359,4.420245170593262,5.231986683980027,-0.8117415133867656,0.8117415133867656,0.15514976669804237,0.6589242845554365,0.51953125,-1.5,sigmoid
prox,512,8,359,5.3335065841674805,5.231986683980027,0.10151990018745316,0.10151990018745316,0.0194037000320165,0.010306290134070452,0.51953125,-1.5,sigmoid
ipw,512,8,359,4.390703201293945,5.231986683980027,-0.841283482686082,0.841283482686082,0.16079618192875614,0.7077578982404232,0.51953125,-1.5,sigmoid
impute,512,8,359,1.2264678478240967,5.231986683980027,-4.005518836155931,4.005518836155931,0.7655827658010953,16.04418114679996,0.51953125,-1.5,sigmoid
scope,512,8,359,3.7120179659322727,5.231986683980027,-1.5199687180477546,1.5199687180477546,0.29051463810139105,2.3103049038437344,0.51953125,-1.5,sigmoid
naive,512,8,360,4.016088962554932,5.236374336495053,-1.2202853739401212,1.2202853739401212,0.23304013340591584,1.4890963938521813,0.55126953125,-1.5,sigmoid
prox,512,8,360,5.150113105773926,5.236374336495053,-0.08626123072112701,0.08626123072112701,0.016473465260099344,0.007440999925523507,0.55126953125,-1.5,sigmoid
ipw,512,8,360,4.132315158843994,5.236374336495053,-1.1040591776510587,1.1040591776510587,0.21084420377593868,1.2189466677555318,0.55126953125,-1.5,sigmoid
impute,512,8,360,2.298398971557617,5.236374336495053,-2.9379753649374356,2.9379753649374356,0.5610705377690699,8.631699244979258,0.55126953125,-1.5,sigmoid
scope,512,8,360,4.340439990047192,5.236374336495053,-0.8959343464478611,0.8959343464478611,0.1710982234794832,0.802698353144956,0.55126953125,-1.5,sigmoid
naive,512,8,361,4.199807643890381,5.222835691757744,-1.0230280478673635,1.0230280478673635,0.19587597777234755,1.0465863867233085,0.52734375,-1.5,sigmoid
prox,512,8,361,5.153205871582031,5.222835691757744,-0.06962982017571306,0.06962982017571306,0.013331803695375139,0.004848311857702138,0.52734375,-1.5,sigmoid
