method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0
ipw,1024,8,348,4.135866165161133,4.901199216325362,-0.7653330511642293,0.7653330511642293,0.15615220222328202,0.5857346792043489,0.368408203125,-0.7
impute,1024,8,348,-0.4748366177082062,4.901199216325362,-5.376035834033568,5.376035834033568,1.0968817215441022,28.901761288813006,0.368408203125,-0.7
scope,1024,8,348,4.61582854409526,4.901199216325362,-0.28537067223010215,0.28537067223010215,0.05822466291097971,0.08143642056906039,0.368408203125,-0.7
naive,1024,8,349,4.0409979820251465,4.901544373137531,-0.8605463911123845,0.8605463911123845,0.17556637777850811,0.7405400912565491,0.3662109375,-0.7
prox,1024,8,349,4.866117000579834,4.901544373137531,-0.03542737255769701,0.03542737255769701,0.007227797987885923,0.0012550987263418632,0.3662109375,-0.7
ipw,1024,8,349,4.016047954559326,4.901544373137531,-0.8854964185782048,0.8854964185782048,0.18065661578646264,0.7841039073148274,0.3662109375,-0.7
impute,1024,8,349,1.1178964376449585,4.901544373137531,-3.7836479354925725,3.7836479354925725,0.7719297526364367,14.315991699757205,0.3662109375,-0.7
scope,1024,8,349,4.6398010473669125,4.901544373137531,-0.26174332577061854,0.26174332577061854,0.05340017468883462,0.06850956858546414,0.3662109375,-0.7
naive,1024,8,350,4.1106486320495605,4.895986141004857,-0.7853375089552967,0.7853375089552967,0.16040435702583775,0.6167550029721108,0.3719482421875,-0.7
prox,1024,8,350,4.89298152923584,4.895986141004857,-0.003004611769017451,0.003004611769017451,0.0006136887814802477,9.027691882518178e-06,0.3719482421875,-0.7
ipw,1024,8,350,4.089190483093262,4.895986141004857,-0.8067956579115956,0.8067956579115956,0.16478716129413062,0.6509192336250044,0.3719482421875,-0.7
impute,1024,8,350,0.5494996905326843,4.895986141004857,-4.346486450472173,4.346486450472173,0.8877652683837245,18.891944464138188,0.3719482421875,-0.7
scope,1024,8,350,4.489912372540042,4.895986141004857,-0.40607376846481547,0.40607376846481547,0.0829401384664607,0.16489590543521657,0.3719482421875,-0.7
naive,1024,8,351,4.182140350341797,4.904773373793537,-0.7226330234517402,0.7226330234517402,0.14733260201435738,0.5221984865830033,0.3668212890625,-0.7
prox,1024,8,351,4.931893348693848,4.904773373793537,0.027119974900310595,0.027119974900310595,0.005529302341513688,0.0007354930385934767,0.3668212890625,-0.7
