method,n,T,mnar_c0,mean_value,true_mean,mean_bias,mean_mae,mean_mae_rel,mean_mse,sd,n_rep,missing
scope,64,8,-1.5,3.740114950823545,5.227582534845942,-1.4874675840223972,1.8892782734745779,0.36136406548422506,4.46524172534766,1.5166872604091568,50,0.5434375
scope,64,8,-0.7,4.139303453257657,4.894606896604784,-0.7553034433471264,1.1648582053236236,0.23798250200190776,2.0725788932541107,1.2417749704008811,50,0.3776171875
scope,64,8,0.3,3.8221279527923597,4.479611629645282,-0.6574836768529222,0.9285619175306724,0.20725765917342756,1.474779744403271,1.0329055711252584,50,0.20359375
scope,128,8,-2.8,2.175760100599182,5.580757308998427,-3.404997208399246,3.404997208399246,0.610154760380022,12.16887324649677,0.7668347897840793,50,0.78349609375
scope,128,8,-1.5,3.955423007959394,5.227582534845942,-1.272159526886548,1.46518573491404,0.2803712013015354,2.8476415435451736,1.120101478687245,50,0.54154296875
scope,128,8,-0.7,4.518423688371686,4.894606896604784,-0.3761832082330983,1.053218173329278,0.21529303476718195,1.583892393586991,1.2154609275200567,50,0.37630859375
scope,128,8,0.3,4.2476294521806945,4.479611629645282,-0.2319821774645873,0.8755342019546068,0.19555178067216722,1.3261963521030264,1.1398912067160092,50,0.20248046875
scope,256,8,-2.8,2.438945748366203,5.580757308998427,-3.1418115606322243,3.1418115606322243,0.5629693443486777,10.223996997187191,0.6000227716662865,50,0.7824609375
scope,256,8,-1.5,4.14192572391127,5.227582534845942,-1.0856568109346716,1.230007029419797,0.2352829127757259,1.9206573279384693,0.8697255127106359,50,0.540625
scope,256,8,-0.7,4.57156588101856,4.894606896604784,-0.32304101558622406,0.6664597905655784,0.13616692907483638,0.6605902629768033,0.7550128779223547,50,0.37474609375
scope,256,8,0.3,4.362792185743821,4.479611629645282,-0.11681944390146036,0.5552471357497364,0.12399106022615503,0.528265032244285,0.7256588110682085,50,0.20234375
scope,512,8,-2.8,2.5065016577791233,5.580757308998427,-3.0742556512193047,3.0742556512193047,0.5508778556370416,9.615892114943877,0.4109516387881127,50,0.7816748046875
scope,512,8,-1.5,4.277596450240343,5.227582534845942,-0.9499860846055991,0.9558894820487305,0.18287561406353006,1.1144176114346704,0.4663172418784442,50,0.5373828125
scope,512,8,-0.7,4.656686577770312,4.894606896604784,-0.2379203188344714,0.4921303921724213,0.1005829496403051,0.37162583498068696,0.5672050396985455,50,0.3722216796875
scope,512,8,0.3,4.497123381138431,4.479611629645282,0.01751175149314953,0.38757587935388416,0.08654753185548052,0.28050527118287544,0.5336423109324039,50,0.2008740234375
scope,1024,8,-2.8,2.42774040706824,5.580757308998427,-3.153016901930188,3.153016901930188,0.5649971137696425,10.01102089222502,0.2683093599149065,50,0.78260986328125
scope,1024,8,-1.5,4.192698516751667,5.227582534845942,-1.0348840180942747,1.0348840180942747,0.19797879864906734,1.207352079745351,0.37407655000446344,50,0.5379248046875
scope,1024,8,-0.7,4.682651013316711,4.894606896604784,-0.2119558832880728,0.3477930232839205,0.07107257537485802,0.175800683657776,0.36531973528127165,50,0.3726123046875
scope,1024,8,0.3,4.439238372421002,4.479611629645282,-0.040373257224279716,0.2789607217878711,0.06226511751798475,0.10642829817268425,0.3284587307361635,50,0.20078369140625
scope,2048,8,-2.8,2.481055108792443,5.580757308998427,-3.0997022002059844,3.0997022002059844,0.5554215918081913,9.650095344488532,0.20604456682275313,50,0.78329833984375
scope,2048,8,-1.5,4.266853057633231,5.227582534845942,-0.9607294772127107,0.9607294772127107,0.18378117787879955,0.9810324217223048,0.2435474408080255,50,0.53840576171875
scope,2048,8,-0.7,4.694482372333442,4.894606896604784,-0.20012452427134172,0.267708906642797,0.05469733923554912,0.11007836483516133,0.2679197966524174,50,0.372891845703125
scope,2048,8,0.3,4.489216455102703,4.479611629645282,0.009604825457421402,0.1894448563998342,0.042292100103598095,0.05278702636431072,0.23269242719814046,50,0.2002197265625
